Name,Altname,RAJ2000,DEJ2000,Dist,Kmag,Bmag,a26,b/a,HRV,i,TT,Mcl,img,size
KDG082,,178.9141663,31.5194444,16.6,12.09,14.84,1.91,0.64,590,51,8," ",,0.0
LV J1203+3257,,180.7954165,32.95611106,7.55,14.02,16.7,0.97,0.38,570,69,8," ",,0.0
UGC7257,,183.7625,35.95861104,8.8,12.25,14.36,1.35,0.62,956,52,8," ",,0.0
KDG090,,183.7412498,36.21888884,2.86,13.43,15.86,1.55,0.87,,33,10,Tr,,0.0
NGC4214,,183.912083,36.3274999,2.94,8.14,10.24,8.51,0.78,291,39,8," ",,0.0
NGC4163,,183.037083,36.1694444,2.94,10.88,13.63,2.19,0.84,162,37,9,Im,,0.0
MCG +06-27-017,,182.4849999,36.4352777,4.83,12.0,15.5,0.95,0.31,339,90,9,Im,,0.0
NGC4190,,183.435833,36.63333326,2.82,10.79,13.5,2.14,0.88,235,32,9,BCD,,0.0
DDO099,,177.720833,38.8805555,2.64,11.86,13.7,4.27,0.37,251,90,10,Ir,,0.0
Sag dIr,,292.495833,-17.67805552,1.04,12.13,14.12,2.88,0.72,-79,50,10,Ir,,0.0
NGC6822,,296.2404165,-14.80305554,0.5,6.0,9.31,19.05,0.87,-57,33,10,Ir,,0.0
LV J1952+1428,,298.049166,14.47333331,7.13,13.54,16.9,0.3,0.93,279,24,9,BCD,,0.0
Hercules,,247.758333,12.79166664,0.15,10.66,15.0,13.5,0.33,45,90,-3,Sph,,0.0
[KK2000] 03,,36.1779166,-73.5127777,4.1,10.83,16.0,2.45,0.4,,90,-3,Tr,,0.0
LMC,,80.8941665,-69.756111,0.05,-1.75,0.91,645.65,0.85,278,35,9,Im,,0.0
KK27,,50.26249996,-66.3197221,3.98,13.85,16.5,1.17,0.33,533,90,10,Ir,,0.0
NGC1313,,49.5641666,-66.4974999,4.07,7.57,9.66,12.59,0.8,470,37,7," ",,0.0
NGC1533,,62.4658332,-56.11833325,19.4,7.63,11.79,3.55,0.82,785,37,1," ",,0.0
