Name,Altname,RAJ2000,DEJ2000,Dist,Kmag,Bmag,a26,b/a,HRV,i,TT,Mcl,img,size
KK165,,192.219583,31.97027774,5.4,13.34,17.5,0.72,0.93,,24,-1,Tr,,0.0
FGC1497,,191.7524997,32.6513888,23.4,14.13,16.8,1.07,0.17,519,84,8," ",,0.0
BTS151,,190.8524996,32.4822222,7.3,13.24,17.4,0.78,0.61,,64,-2,Sph,,0.0
NGC4631,,190.533333,32.5413888,7.38,6.47,9.75,16.6,0.17,583,86,7," ",,0.0
NGC4627,,190.4987497,32.57361106,7.3,8.85,13.01,1.82,0.69,542,59,-3," ",,0.0
LV J1243+3232,,190.935833,32.5344444,7.3,14.84,19.0,0.35,0.65,,57,-1,Sph,,0.0
LV J1241+3251,,190.447083,32.8577777,7.3,13.98,16.4,0.79,0.57,693,65,10,Ir,,0.0
UGCA292,,189.6666663,32.7666666,3.61,14.24,16.07,1.02,0.7,308,52,10,Ir,,0.0
DDO143,,191.104583,34.3863888,9.1,13.58,16.0,2.24,0.36,607,90,10,Ir,,0.0
CVnII,,194.2916663,34.32083326,0.16,12.81,16.95,2.5,0.61,-129,70,-3,Sph,,0.0
NGC4861,,194.758333,34.86027775,7.3,10.46,12.9,3.63,0.38,842,90,9,Im,,0.0
KK166,,192.3054164,35.6125,4.74,13.47,17.62,0.6,0.59,,73,-3,Tr,,0.0
KK152,,188.3537496,33.35138884,6.9,13.88,16.3,1.07,0.43,838,83,10,Ir,,0.0
MAPS1236+33,,189.2058332,33.6133333,11.7,14.49,16.9,0.56,0.43,526,83,10,Ir,,0.0
NGC4534,,188.5229165,35.5183333,9.8,11.21,13.2,3.02,0.66,802,49,8," ",,0.0
UGC07605,,187.1624997,35.7180555,4.43,12.4,14.76,1.48,0.73,310,49,10,Ir,,0.0
DDO127,,187.1187498,37.2333333,6.89,12.57,14.98,1.62,0.5,275,72,10,Ir,,0.0
UGC07699,,188.1999996,37.6216666,14.5,11.15,13.3,3.98,0.27,495,77,7," ",,0.0
BTS142,,188.280833,38.116111,10.0,16.04,18.44,0.33,0.98,719,13,10,Ir,,0.0
DDO147,,191.7491664,36.47638884,5.4,12.7,15.12,1.45,0.79,331,42,10,Ir,,0.0
BTS146,,190.0087496,38.0005555,8.5,15.08,17.5,0.34,0.55,446,67,10,Ir,,0.0
IC3687,,190.5629164,38.5019444,4.57,11.12,13.79,5.13,0.88,350,32,10,Ir,,0.0
Arp211,,189.3387498,38.7452777,6.61,13.32,15.74,0.85,0.57,458,65,10,Ir,,0.0
LV J1243+4127,,190.982083,41.4569444,6.09,14.78,17.2,1.38,0.43,402,83,10,Ir,,0.0
IC4182,,196.4554165,37.6058333,4.7,9.72,12.02,6.61,0.92,321,23,8," ",,0.0
CGCG 217-018,,198.215833,40.5430555,8.33,12.59,14.93,1.0,0.67,555,55,9,BCD,,0.0
KK193,,198.8799997,41.5013888,8.9,16.29,18.7,0.56,0.91,,27,10,Tr,,0.0
KK191,,198.4154163,42.0441666,6.0,15.8,18.2,0.42,0.96,,18,10,Tr,,0.0
NGC5055,,198.9554165,42.0291666,8.99,5.61,9.32,16.22,0.57,500,58,4," ",,0.0
KKH82,,198.244583,41.7866666,8.06,14.0,16.4,1.15,0.79,529,42,10,Tr,,0.0
NGC5023,,198.0495832,44.038611,6.61,9.74,12.85,7.24,0.11,407,90,7," ",,0.0
NGC4736,,192.7229163,41.1194444,4.66,5.11,8.7,15.14,0.81,308,38,2," ",,0.0
MAPS1249+44,,192.3791663,44.3591666,7.84,14.69,17.1,0.47,0.53,513,69,9,Im,,0.0
BTS157,,192.8054164,47.07083326,8.83,15.01,17.5,0.52,0.82,572,39,10,Ir,,0.0
DDO126,,186.7712498,37.1425,4.88,11.53,14.12,2.88,0.63,217,59,10,Ir,,0.0
KDG105,,185.4291665,37.98722215,7.6,14.28,16.7,0.83,0.59,567,63,10,Ir,,0.0
NGC4244,,184.374583,37.8075,4.49,7.72,10.88,19.5,0.11,247,90,6," ",,0.0
KUG 1218+387,,185.2287496,38.43027775,8.03,12.98,15.4,1.17,0.71,570,51,9,BCD,,0.0
UGC7719,,188.5024997,39.0194444,9.2,12.59,15.25,2.14,0.29,679,75,8," ",,0.0
UGC07774,,189.0937497,40.0052777,22.6,11.11,14.6,3.16,0.16,528,89,7," ",,0.0
UGC7678,,188.0016664,39.8319444,6.9,12.48,14.5,1.78,0.52,679,70,9,Im,,0.0
UGC7751,,188.7991665,41.0608333,7.9,14.05,16.5,1.21,0.34,605,90,9,Im,,0.0
NGC4618,,190.3866663,41.15083324,7.9,8.66,11.31,4.17,0.76,536,41,6," ",,0.0
NGC4625,,190.469583,41.27388884,7.9,9.75,13.03,1.66,0.78,606,39,7," ",,0.0
NGC4490,,187.6516664,41.64361106,5.8,7.35,9.76,6.31,0.49,586,62,7," ",,0.0
MAPS1231+42,,187.7874997,42.0941666,5.8,15.38,17.8,0.33,0.68,563,54,10,Ir,,0.0
NGC4485,,187.6299997,41.69999996,5.8,10.58,12.32,2.34,0.7,480,46,8," ",,0.0
KK149,,187.2179164,42.1777777,8.9,12.56,15.01,0.93,0.63,407,59,10,Ir,,0.0
UGC07690,,188.1120832,42.7041666,11.2,11.4,13.13,2.09,0.79,536,38,8," ",,0.0
KK151,,187.5991663,42.9013888,6.56,13.38,15.8,1.12,0.42,436,87,9,Im,,0.0
DDO129,,187.1841664,43.2241666,8.9,11.01,13.67,2.82,0.89,538,27,8," ",,0.0
DDO125,,186.9241665,43.4938888,2.74,10.23,12.95,3.89,0.56,206,66,9,Im,,0.0
LV J1228+4358,,187.187083,43.97166664,4.07,11.77,14.2,3.98,0.27,,90,10,Tr,,0.0
NGC4449,,187.0466665,44.0944444,4.21,7.25,9.99,6.76,0.71,201,45,8," ",,0.0
KK133,,184.8866663,43.3863888,8.23,15.3,17.7,0.47,0.68,561,54,10,Ir,,0.0
UGC07271,,183.8891665,43.4341666,18.6,13.16,14.9,2.4,0.34,546,72,7," ",,0.0
UGC07320,,184.3687498,44.81138885,9.2,13.0,15.4,1.2,0.44,541,81,10,Ir,,0.0
NGC4242,,184.375833,45.6194444,7.9,9.12,11.59,5.5,0.76,517,41,7," ",,0.0
NGC4144,,182.497083,46.45722214,7.24,9.39,12.05,6.17,0.21,265,82,7," ",,0.0
LV J1203+4739,,180.7499997,47.6541666,7.49,14.78,17.2,0.94,0.46,492,78,10,Ir,,0.0
KK160,,190.9891665,43.6613888,4.31,14.98,17.43,0.59,0.75,293,47,10,Ir,,0.0
UGC07827,,189.912083,44.82083326,8.5,13.54,15.96,1.25,0.58,553,64,10,Ir,,0.0
NGC4460,,187.190833,44.8644444,9.59,9.06,12.26,4.27,0.3,499,90,1," ",,0.0
UGC07639,,187.470833,47.52999994,7.14,11.73,14.13,2.14,0.54,385,68,9,Im,,0.0
UGCA281,,186.5666663,48.49194435,5.68,12.51,15.14,1.05,0.75,279,47,10,Ir,,0.0
DDO120,,185.3124997,45.81138885,7.06,10.77,13.55,2.4,0.62,463,60,9,Im,,0.0
CVnHI,,185.180833,46.2091666,6.5,,,,,420,,11,Ir,,0.0
NGC4288,,185.1587497,46.2916666,8.05,11.3,13.3,2.34,0.71,533,45,7," ",,0.0
d1220+4649,,185.2291663,46.8291666,7.8,15.23,19.4,0.25,0.83,,41,-3,Sph,,0.0
KK136,,185.1691665,47.00083325,7.8,13.33,17.5,0.47,0.87,,36,-3,Sph,,0.0
KDG101,,184.7879163,47.08972214,7.24,13.33,15.75,1.29,0.59,132,63,10,Ir,,0.0
d1219+4705,,184.903333,47.09249994,7.8,14.4,18.6,0.29,0.95,,22,-3,Sph,,0.0
NGC4258,,184.7395831,47.30388885,7.83,5.46,9.1,18.62,0.39,447,71,4," ",,0.0
LV J1218+4655,,184.54625,46.9169444,6.54,14.16,16.83,0.91,0.28,420,76,8," ",,0.0
LV J1217+4703,,184.292083,47.0636111,7.8,16.09,18.5,0.3,0.76,,46,10,Tr,,0.0
NGC4248,,184.4579165,47.4091666,7.4,10.59,13.14,3.31,0.43,484,66,8," ",,0.0
KK134,,184.8908332,47.4516666,7.8,12.84,17.0,0.37,0.94,,24,-3,Sph,,0.0
[KKH2011]S11,,185.1254164,47.4902777,7.8,16.33,20.5,0.28,0.9,,31,-3,Sph,,0.0
KK132,,184.777083,47.7308333,7.8,14.34,18.5,0.36,0.84,,37,-1,Sph,,0.0
BTS132,,185.9424997,47.6588888,7.8,14.23,18.4,0.39,0.68,,60,-3,Sph,,0.0
UGC07267,,183.848333,51.34999994,12.9,11.94,14.79,2.09,0.32,473,73,8," ",,0.0
UGC07298,,184.1191664,52.2272222,4.21,13.29,15.95,0.85,0.55,174,67,10,Ir,,0.0
MCG +09-20-131,,183.944583,52.38749996,4.59,12.86,15.3,1.05,0.3,159,90,10,Ir,,0.0
NGC4068,,181.0099996,52.58861106,4.31,10.76,13.19,2.95,0.53,210,69,9,Im,,0.0
KK194,,199.3312498,44.3966666,10.0,15.19,17.6,0.63,0.58,,64,10,Ir,,0.0
DDO168,,198.6191664,45.9194444,4.33,11.11,12.97,3.89,0.39,191,90,10,Ir,,0.0
NGC5194,,202.469583,47.23444435,8.4,5.5,8.61,15.85,0.62,446,53,5," ",,0.0
NGC5195,,202.494583,47.2680555,7.66,6.25,10.45,6.92,0.92,455,25,0," ",,0.0
NGC5229,,203.512083,47.91527774,8.0,11.67,14.33,3.39,0.13,359,90,7," ",,0.0
LV J1328+4937,,202.1299997,49.62722215,8.02,14.91,17.3,0.45,0.55,395,67,10,Ir,,0.0
DDO167,,198.3449997,46.3197222,4.19,13.45,15.45,1.1,0.55,150,67,10,Ir,,0.0
UGC08215,,197.015,46.8280555,4.55,13.64,16.03,0.85,0.7,224,52,10,Ir,,0.0
DDO169,,198.8779164,47.4963888,4.41,12.17,14.46,2.95,0.33,262,90,10,Ir,,0.0
DDO169NW,,198.8337498,47.54361105,4.2,15.61,18.0,0.78,0.71,242,51,10,Ir,,0.0
LV J1342+4840,,205.5837498,48.6824999,7.44,13.91,16.3,0.78,0.69,438,53,9,Im,,0.0
UGCA361,,203.150833,49.8302777,8.0,12.57,16.7,0.98,0.59,,63,-1,Tr,,0.0
NGC5238,,203.6779165,51.6138888,4.51,11.5,13.55,2.09,0.82,229,39,10,Ir,,0.0
HolmIV,,208.6879164,53.9047221,7.21,11.04,13.76,4.07,0.3,140,74,8," ",,0.0
UGC08882,,209.310833,54.1008333,8.32,13.72,15.77,1.07,0.73,348,49,-1,dE,,0.0
GBT 1355+5439,,208.710833,54.6472221,7.41,,,,,210,,11,HIcld,,0.0
UGC08508,,202.6849997,54.9099999,2.69,11.57,14.12,2.14,0.59,56,63,10,Ir,,0.0
NGC5204,,202.4016664,58.4177777,4.66,9.51,11.73,5.13,0.6,201,54,8," ",,0.0
NGC4707,,192.0954164,51.1647222,5.8,11.73,13.43,2.09,0.8,468,41,10,Ir,,0.0
UGC07950,,191.7349999,51.6130555,8.9,12.12,14.6,1.38,0.74,508,48,9,Im,,0.0
KDG192,,190.9374997,53.9588888,7.45,14.2,16.6,1.07,0.63,443,59,10,Ir,,0.0
SBS 1224+533,,186.7191664,53.1052777,5.35,13.68,16.1,0.8,0.69,300,53,9,BCD,,0.0
NGC4605,,190.0012497,61.60805545,5.47,7.76,10.89,6.17,0.37,151,70,8," ",,0.0
DDO123,,186.5337497,58.3224999,10.5,11.85,14.5,2.78,0.79,722,38,8," ",,0.0
UGC09660,,225.2887496,44.6980555,7.4,11.74,14.35,1.2,0.49,608,74,9,BCD,,0.0
NGC5474,,211.2587496,53.66305545,7.2,9.48,11.48,4.79,0.9,288,26,8," ",,0.0
NGC5477,,211.3879163,54.46083326,7.7,11.79,14.19,2.04,0.76,312,46,9,Im,,0.0
MESSIER101,,210.803333,54.35055545,7.38,5.51,8.31,30.2,0.93,240,22,6," ",,0.0
DDO194,,218.8524996,57.2566666,8.02,11.87,14.52,2.14,0.35,218,71,8," ",,0.0
NGC5585,,214.9512496,56.7302777,5.7,9.5,11.2,5.89,0.64,303,51,7," ",,0.0
KKH87,,213.7891663,57.0874999,7.2,13.7,16.1,1.12,0.37,320,90,10,Ir,,0.0
NGC6503,,267.3649995,70.1447221,5.27,7.3,10.86,7.08,0.34,51,73,6," ",,0.0
UMin,,227.297083,67.2144444,0.06,7.67,11.9,30.2,0.44,-255,90,-3,Sph,,0.0
UGC09992,,235.4491663,67.2541666,7.3,12.9,15.4,1.66,0.61,423,61,10,Ir,,0.0
KDG235,,255.1054163,70.2899999,10.6,14.31,16.8,1.29,0.81,443,40,10,Ir,,0.0
KDG229,,208.4233332,60.05111105,8.0,14.1,16.5,0.85,0.57,,65,10,Ir,,0.0
DDO165,,196.6116665,67.7041665,4.57,11.14,13.31,4.07,0.54,31,68,9,Im,,0.0
UGC07242,,183.530833,66.0922222,5.42,12.18,14.6,1.23,0.42,66,87,10,Ir,,0.0
NGC4236,,184.1804164,69.4655554,4.45,7.5,10.05,21.88,0.32,-3,73,8," ",,0.0
UGC08245,,197.1424998,78.9369444,1.99,12.2,14.75,2.14,0.41,-58,90,9,Im,,0.0
Segue 3,,320.379166,19.1172222,0.02,11.43,15.9,1.3,0.7,,58,-3,Sph,,0.0
And XXVIII,,338.171666,31.21611108,0.65,12.27,16.7,1.7,0.66,,56,-1,Tr,,0.0
KKH98,,356.391666,38.7177777,2.45,13.82,16.7,1.05,0.55,-132,67,10,Ir,,0.0
And XXI,,358.6987496,42.47083324,0.86,11.33,15.8,5.5,0.8,-361,45,-3,Sph,,0.0
UGC12588,,351.176666,41.3480555,7.9,10.89,14.11,1.86,0.82,425,35,8," ",,0.0
DDO217,,352.494583,40.9902777,9.7,9.6,12.84,5.25,0.82,424,35,8," ",,0.0
NGC7640,,350.5275,40.8455555,7.9,8.6,11.61,10.47,0.19,369,90,5," ",,0.0
Cas dSph,,351.6324994,50.6755555,0.79,8.79,13.65,3.02,0.87,-307,36,-3,Sph,,0.0
KKR60,,316.470833,57.20527766,5.9,11.47,18.0,0.71,0.7,-14,52,10,Ir,,0.0
KKR59,,315.850833,57.2872221,5.89,9.57,15.7,2.29,0.61,-3,53,8," ",,0.0
Cepheus1,,312.790416,56.8899999,6.0,9.05,15.4,3.02,0.5,33,61,8," ",,0.0
KKR56,,312.100416,58.61833325,5.89,12.38,17.6,0.71,0.64,-43,58,10,Ir,,0.0
KKR55,,311.3366664,60.41111104,5.89,11.96,17.0,0.6,0.67,32,55,10,Ir,,0.0
NGC6946,,308.712916,60.1541666,5.89,5.37,9.61,14.79,0.85,51,32,6," ",,0.0
KK251,,307.6333327,60.353611,5.89,12.98,16.5,1.58,0.5,130,72,10,Ir,,0.0
UGC11583,,307.5637497,60.4402777,5.89,12.3,15.9,2.19,0.24,126,90,10,Ir,,0.0
KK252,,307.8858327,60.81333325,5.89,12.57,16.7,0.89,0.99,138,9,10,Ir,,0.0
NGC6789,,289.174166,63.9727777,3.63,11.2,13.76,1.41,0.77,-140,45,9,BCD,,0.0
UGC11411,,287.17625,70.2838888,4.73,12.8,15.6,0.79,0.7,69,52,9,BCD,,0.0
ESO349-031,,2.055416664,-34.57833326,3.21,13.02,15.71,1.23,0.82,221,39,10,Ir,,0.0
ESO348-009,,357.3474997,-37.7736111,11.5,12.41,14.81,2.29,0.36,647,90,10,Ir,,0.0
NGC7793,,359.4558326,-32.58999996,3.91,6.85,9.72,14.13,0.68,227,48,6," ",,0.0
ESO410-005,,3.88083333,-32.1799999,1.92,12.5,14.9,1.62,0.77,36,45,10,Tr,,0.0
UGCA442,,355.941666,-31.9591666,4.27,11.42,13.6,6.31,0.14,267,90,8," ",,0.0
UGCA438,,351.6145826,-32.3905555,2.18,11.04,13.89,2.14,0.8,62,41,10,Ir,,0.0
ESO409-015,,1.382499998,-28.0980555,7.7,12.74,15.15,1.2,0.46,726,78,9,Im,,0.0
NGC0024,,2.485,-24.9633333,9.9,8.96,12.38,7.24,0.22,550,85,5," ",,0.0
NGC0045,,3.516249994,-23.1822222,9.2,9.09,11.55,8.51,0.69,465,47,8," ",,0.0
NGC0253,,11.89291665,-25.29222218,3.94,3.77,7.92,37.15,0.22,243,85,5," ",,0.0
Sc22,,5.96541666,-24.705,4.21,13.57,17.73,0.93,0.78,,48,-3,Sph,,0.0
ESO473-024,,7.84374999,-22.7658333,9.9,13.96,16.38,1.55,0.59,530,63,10,Ir,,0.0
DDO006,,12.45541665,-21.0161111,3.34,13.26,15.3,2.29,0.41,292,90,10,Ir,,0.0
DDO226,,10.76583331,-22.25027775,4.92,12.48,14.9,2.24,0.36,359,90,10,Ir,,0.0
NGC0247,,11.78458332,-20.75999998,3.65,7.43,9.86,25.12,0.32,161,74,7," ",,0.0
ESO540-032,,12.60249997,-19.9069444,3.42,14.01,16.44,1.51,0.92,228,26,10,Ir,,0.0
NGC0059,,3.85458333,-21.44388885,5.3,10.1,12.97,2.29,0.48,361,90,-3,dEem,,0.0
KDG002,,12.33791665,-18.07444442,3.4,13.93,16.37,1.23,0.92,224,26,10,Tr,,0.0
WLM,,0.4920833326,-15.46111109,0.97,9.0,11.03,11.48,0.35,-122,90,9,Im,,0.0
Cetus,,6.545833325,-11.04444443,0.78,10.19,14.4,4.79,0.67,-87,55,-1,Tr,,0.0
IC1613,,16.19916663,2.1,0.73,7.43,9.88,19.05,0.9,-232,29,10,Ir,,0.0
KDG010,,25.92249996,15.6897222,7.87,13.64,16.28,1.45,0.67,789,55,10,Ir,,0.0
DDO013,,25.03999996,15.9047222,9.04,11.76,14.37,4.57,0.78,631,44,10,Ir,,0.0
UGC01171,,24.9233333,15.90305554,7.38,13.13,15.71,1.29,0.92,738,26,10,Ir,,0.0
NGC0628,,24.1720833,15.78666665,7.31,6.85,9.79,11.22,0.94,657,20,5," ",,0.0
UGC01056,,22.19666662,16.68805554,7.3,12.0,14.81,1.0,0.68,595,54,9,Im,,0.0
UGC01104,,23.17624996,18.3158333,7.55,11.81,14.48,1.78,0.6,688,62,9,BCD,,0.0
PiscesII,,344.629166,5.95249999,0.18,12.84,17.2,1.8,0.69,,59,-3,Sph,,0.0
AGC748778,,1.64333333,15.5108333,5.4,16.29,18.9,0.32,0.52,258,70,10,Ir,,0.0
UGC00685,,16.84291664,16.68388887,4.51,11.64,14.22,2.4,0.71,156,51,9,BCD,,0.0
LGS 3,,15.97916664,21.88499998,0.65,12.49,15.0,2.4,0.58,-286,64,10,Tr,,0.0
Pegasus,,352.142083,14.74666664,0.76,9.87,13.21,5.5,0.54,-184,68,10,Ir,,0.0
Peg dSph,,357.9433327,24.5861111,0.82,9.81,14.17,3.98,0.59,-345,73,-3,Sph,,0.0
UGC12713,,354.5604164,30.7091666,12.2,11.5,14.81,1.78,0.47,295,63,7," ",,0.0
And XXIX,,359.731666,30.75555553,0.73,12.72,17.0,2.7,0.65,,60,-2,Sph,,0.0
And XIX,,4.88374999,35.04361105,0.93,12.45,16.8,6.2,0.83,-111,41,-3,Sph,,0.0
And XX,,1.877916665,35.1322222,0.8,14.67,19.0,0.8,0.7,-456,58,-3,Sph,,0.0
UGC12894,,0.0937499999,39.4955555,8.47,14.02,16.8,1.02,0.87,335,33,10,Ir,,0.0
NGC2188,,92.5395833,-34.10611105,7.4,9.5,12.14,4.68,0.25,745,78,8," ",,0.0
HIPASS J0607-34,,91.8320832,-34.2044444,7.4,11.5,14.09,1.02,0.67,765,55,9,BCD,,0.0
ESO364-029,,91.4391665,-33.0816666,7.59,10.27,13.67,3.55,0.71,787,51,9,Im,,0.0
ESO489-056,,96.5708333,-26.2655555,4.99,13.09,15.7,0.72,0.5,492,72,10,Ir,,0.0
ESO490-017,,99.4858332,-25.99972218,4.23,12.0,14.01,1.7,0.76,505,46,10,Ir,,0.0
ESO558-011,,106.7366665,-22.04055553,8.4,10.2,14.43,1.82,0.56,731,57,8," ",,0.0
HIPASS J0705-20,,106.4374999,-20.99166664,7.23,,,,,766,,0," ",,0.0
NGC2283,,101.4695832,-18.21027776,10.0,8.83,12.93,3.63,0.76,841,41,6," ",,0.0
KKSG9,,101.7370832,-17.94138888,10.0,11.66,16.4,0.5,0.7,693,52,9,BCD,,0.0
IC2171,,101.1137498,-17.93249997,9.9,10.81,15.17,1.91,0.21,789,81,8," ",,0.0
CGMW1-260,,99.5004165,-15.02277776,10.8,10.0,13.7,3.16,0.44,746,65,8," ",,0.0
NGC1744,,74.9924999,-26.02666664,10.0,9.78,11.71,6.92,0.54,741,58,7," ",,0.0
